time,wx,wy,wz,ax,ay,az
6.507,0,-0.01,-0.05,-0.04,-0.08,-0.21
6.507,0,-0.01,-0.05,-0.04,-0.08,-0.21
6.51,0,-0.01,-0.04,-0.04,-0.08,-0.21
6.511,0,-0.01,-0.04,-0.04,-0.08,-0.21
6.511,-0.01,-0.01,-0.04,-0.04,-0.08,-0.21
6.514,-0.01,-0.01,-0.04,-0.02,-0.1,-0.15
6.514,-0.01,-0.01,-0.05,-0.02,-0.1,-0.15
6.515,-0.01,-0.01,-0.05,-0.02,-0.1,-0.15
6.516,0,-0.01,-0.05,-0.02,-0.1,-0.15
6.519,-0.01,-0.01,-0.05,-0.02,-0.1,-0.15
6.52,0,-0.01,-0.05,-0.02,-0.1,-0.15
6.528,0,-0.01,-0.05,0.02,-0.06,0
6.529,0,-0.02,-0.05,0.02,-0.06,0
6.529,0,-0.02,-0.05,0.02,-0.06,0
6.53,0,-0.02,-0.05,0.02,-0.06,0
6.53,0,-0.02,-0.06,0.02,-0.06,0
6.531,0,-0.02,-0.06,0.02,-0.06,0
6.534,0,-0.02,-0.06,0.05,0.03,0.07
6.535,0.01,-0.02,-0.06,0.05,0.03,0.07
6.535,0.01,-0.02,-0.06,0.05,0.03,0.07
6.537,0.01,-0.02,-0.06,0.05,0.03,0.07
6.539,0.01,-0.02,-0.06,0.05,0.03,0.07
6.547,0.01,-0.02,-0.06,0.05,0.03,0.07
6.547,0.01,-0.02,-0.06,0.06,-0.01,0.06
6.548,0.01,-0.02,-0.06,0.06,-0.01,0.06
6.548,0.01,-0.01,-0.06,0.06,-0.01,0.06
6.548,0.01,-0.01,-0.06,0.06,-0.01,0.06
6.549,0.01,-0.01,-0.06,0.06,-0.01,0.06
6.551,0.01,-0.01,-0.06,0.06,-0.01,0.06
6.554,0.01,-0.01,-0.06,0.02,-0.05,-0.01
6.554,0.01,-0.01,-0.06,0.02,-0.05,-0.01
6.557,0,-0.01,-0.06,0.02,-0.05,-0.01
6.558,0,-0.01,-0.06,0.02,-0.05,-0.01
6.559,0,-0.02,-0.06,0.02,-0.05,-0.01
6.56,0,-0.02,-0.06,0.02,-0.05,-0.01
6.565,0,-0.02,-0.06,-0.01,-0.08,0.02
6.566,0,-0.02,-0.06,-0.01,-0.08,0.02
6.567,0,-0.03,-0.06,-0.01,-0.08,0.02
6.568,0,-0.03,-0.06,-0.01,-0.08,0.02
6.568,0,-0.03,-0.07,-0.01,-0.08,0.02
6.571,0,-0.03,-0.07,-0.01,-0.08,0.02
6.574,0,-0.03,-0.07,0.06,-0.02,0.09
6.575,0,-0.03,-0.06,0.06,-0.02,0.09
6.575,0,-0.03,-0.07,0.06,-0.02,0.09
6.577,0,-0.02,-0.07,0.06,-0.02,0.09
6.579,0,-0.02,-0.07,0.06,-0.02,0.09
6.581,0,-0.02,-0.07,0.06,-0.02,0.09
6.585,0,-0.02,-0.07,0.07,0.02,0.11
6.586,0,-0.01,-0.07,0.07,0.02,0.11
6.587,0,-0.01,-0.07,0.07,0.02,0.11
6.587,0,-0.01,-0.07,0.07,0.02,0.11
6.589,0,0,-0.07,0.07,0.02,0.11
6.592,0,0,-0.06,0.07,0.02,0.11
6.594,0,0,-0.06,0.06,0.05,0.1
6.595,0,0,-0.06,0.06,0.05,0.1
6.596,0,0,-0.07,0.06,0.05,0.1
6.599,0,0,-0.06,0.06,0.05,0.1
6.6,0,0,-0.07,0.06,0.05,0.1
6.601,0,0,-0.07,0.06,0.05,0.1
6.605,0,0,-0.07,0.07,0.03,0.1
6.606,0,0,-0.06,0.07,0.03,0.1
6.606,0,0,-0.07,0.07,0.03,0.1
6.612,0,0,-0.06,0.07,0.03,0.1
6.613,0,0,-0.06,0.07,0.03,0.1
6.613,0,0,-0.06,0.07,0.03,0.1
6.619,0,0,-0.06,0.05,0.04,0.1
6.619,0,0,-0.06,0.05,0.04,0.1
6.619,0,0,-0.06,0.05,0.04,0.1
6.62,0.01,0,-0.06,0.05,0.04,0.1
6.62,0,0,-0.06,0.05,0.04,0.1
6.621,0,0,-0.06,0.05,0.04,0.1
6.629,0,0,-0.06,0.06,0.05,0.03
6.63,0,0.01,-0.06,0.06,0.05,0.03
6.63,0,0.01,-0.05,0.06,0.05,0.03
6.63,0,0.01,-0.06,0.06,0.05,0.03
6.631,0,0.01,-0.05,0.06,0.05,0.03
6.631,0,0.01,-0.05,0.06,0.05,0.03
6.634,0,0.01,-0.05,0.05,0.07,0.01
6.635,-0.01,0.01,-0.05,0.05,0.07,0.01
6.636,-0.01,0.01,-0.05,0.05,0.07,0.01
6.636,-0.01,0.01,-0.05,0.05,0.07,0.01
6.639,-0.01,0.01,-0.05,0.05,0.07,0.01
6.642,-0.01,0.01,-0.05,0.05,0.07,0.01
6.645,-0.01,0.01,-0.05,0.08,0.09,0
6.645,-0.01,0,-0.05,0.08,0.09,0
6.645,-0.01,0,-0.05,0.08,0.09,0
6.647,-0.01,0,-0.05,0.08,0.09,0
6.649,-0.01,0,-0.05,0.08,0.09,0
6.651,-0.01,-0.01,-0.05,0.08,0.09,0
6.654,-0.01,-0.01,-0.05,0.06,0.09,0
6.654,-0.01,-0.01,-0.05,0.06,0.09,0
6.655,0,-0.01,-0.05,0.06,0.09,0
6.657,0,-0.01,-0.05,0.06,0.09,0
6.672,0,-0.01,-0.05,0.06,0.09,0
6.672,0,-0.01,-0.05,0.06,0.09,0
6.673,0,-0.01,-0.05,0.05,0.09,-0.03
6.673,0,-0.01,-0.05,0.05,0.09,-0.03
6.673,0,-0.01,-0.05,0.05,0.09,-0.03
6.674,0,-0.01,-0.05,0.05,0.09,-0.03
6.674,0,-0.01,-0.05,0.05,0.09,-0.03
6.674,0.01,-0.01,-0.05,0.05,0.09,-0.03
6.675,0.01,-0.01,-0.05,0.03,0.09,-0.01
6.675,0.01,-0.02,-0.05,0.03,0.09,-0.01
6.678,0.01,-0.01,-0.05,0.03,0.09,-0.01
6.681,0.01,-0.01,-0.05,0.03,0.09,-0.01
6.681,0.01,-0.02,-0.05,0.03,0.09,-0.01
6.681,0.01,-0.02,-0.05,0.03,0.09,-0.01
6.686,0.01,-0.02,-0.05,0.05,0.08,-0.04
6.686,0.02,-0.02,-0.06,0.05,0.08,-0.04
6.687,0.02,-0.02,-0.06,0.05,0.08,-0.04
6.687,0.02,-0.02,-0.06,0.05,0.08,-0.04
6.689,0.02,-0.03,-0.06,0.05,0.08,-0.04
6.691,0.02,-0.03,-0.06,0.05,0.08,-0.04
6.696,0.02,-0.03,-0.06,0.03,0.08,-0.04
6.696,0.03,-0.03,-0.06,0.03,0.08,-0.04
6.696,0.02,-0.03,-0.06,0.03,0.08,-0.04
6.697,0.02,-0.03,-0.06,0.03,0.08,-0.04
6.699,0.03,-0.03,-0.06,0.03,0.08,-0.04
6.701,0.02,-0.03,-0.06,0.03,0.08,-0.04
6.704,0.02,-0.03,-0.06,-0.02,0.02,-0.05
6.705,0.03,-0.02,-0.05,-0.02,0.02,-0.05
6.705,0.02,-0.02,-0.05,-0.02,0.02,-0.05
6.707,0.02,-0.02,-0.05,-0.02,0.02,-0.05
6.709,0.02,-0.02,-0.05,-0.02,0.02,-0.05
6.712,0.02,-0.02,-0.05,-0.02,0.02,-0.05
6.714,0.02,-0.02,-0.05,0.05,0.04,-0.1
6.714,0.02,-0.02,-0.05,0.05,0.04,-0.1
6.715,0.02,-0.02,-0.06,0.05,0.04,-0.1
6.718,0.02,-0.02,-0.06,0.05,0.04,-0.1
6.719,0.01,-0.02,-0.06,0.05,0.04,-0.1
6.721,0.01,-0.02,-0.06,0.05,0.04,-0.1
6.728,0.01,-0.02,-0.06,-0.01,0.04,-0.03
6.729,0.01,-0.02,-0.06,-0.01,0.04,-0.03
6.729,0.01,-0.02,-0.06,-0.01,0.04,-0.03
6.73,0.01,-0.02,-0.06,-0.01,0.04,-0.03
6.73,0.01,-0.02,-0.06,-0.01,0.04,-0.03
6.731,0.01,-0.02,-0.06,-0.01,0.04,-0.03
6.734,0.01,-0.02,-0.06,-0.02,0.03,0.01
6.734,0.01,-0.02,-0.06,-0.02,0.03,0.01
6.735,0.02,-0.02,-0.06,-0.02,0.03,0.01
6.737,0.02,-0.02,-0.06,-0.02,0.03,0.01
6.739,0.02,-0.03,-0.06,-0.02,0.03,0.01
6.744,0.02,-0.02,-0.07,-0.02,0.03,0.01
6.745,0.02,-0.02,-0.07,-0.02,0.01,0.02
6.745,0.02,-0.02,-0.07,-0.02,0.01,0.02
6.746,0.03,-0.02,-0.07,-0.02,0.01,0.02
6.747,0.03,-0.02,-0.07,-0.02,0.01,0.02
6.749,0.03,-0.02,-0.07,-0.02,0.01,0.02
6.75,0.03,-0.02,-0.07,-0.02,0.01,0.02
6.753,0.03,-0.02,-0.07,-0.02,0.01,0.02
6.753,0.03,-0.02,-0.07,-0.03,0.01,-0.03
6.754,0.04,-0.02,-0.07,-0.03,0.01,-0.03
6.757,0.04,-0.03,-0.07,-0.03,0.01,-0.03
6.759,0.04,-0.02,-0.07,-0.03,0.01,-0.03
6.761,0.04,-0.03,-0.07,-0.03,0.01,-0.03
6.765,0.04,-0.03,-0.07,-0.06,0,-0.03
6.765,0.04,-0.03,-0.07,-0.06,0,-0.03
6.765,0.04,-0.02,-0.07,-0.06,0,-0.03
6.767,0.04,-0.03,-0.07,-0.06,0,-0.03
6.768,0.04,-0.02,-0.07,-0.06,0,-0.03
6.77,0.04,-0.02,-0.07,-0.06,0,-0.03
6.775,0.04,-0.02,-0.07,-0.05,0,-0.02
6.776,0.04,-0.02,-0.07,-0.05,0,-0.02
6.776,0.04,-0.01,-0.07,-0.05,0,-0.02
6.777,0.04,-0.01,-0.07,-0.05,0,-0.02
6.779,0.04,-0.01,-0.07,-0.05,0,-0.02
6.78,0.04,-0.01,-0.08,-0.05,0,-0.02
6.785,0.04,-0.01,-0.08,-0.02,0,-0.05
6.785,0.03,-0.01,-0.08,-0.02,0,-0.05
6.785,0.03,-0.01,-0.08,-0.02,0,-0.05
6.787,0.03,0,-0.08,-0.02,0,-0.05
6.789,0.03,0,-0.08,-0.02,0,-0.05
6.792,0.02,0,-0.08,-0.02,0,-0.05
6.794,0.02,0,-0.08,-0.02,0,-0.05
6.795,0.02,0,-0.08,-0.05,-0.01,-0.08
6.796,0.02,0,-0.08,-0.05,-0.01,-0.08
6.797,0.01,0,-0.08,-0.05,-0.01,-0.08
6.799,0.01,0.01,-0.08,-0.05,-0.01,-0.08
6.801,0.01,0.01,-0.08,-0.05,-0.01,-0.08
6.806,0.01,0.01,-0.08,-0.04,-0.02,-0.06
6.807,0,0.01,-0.08,-0.04,-0.02,-0.06
6.807,0,0.01,-0.08,-0.04,-0.02,-0.06
6.807,0,0.02,-0.08,-0.04,-0.02,-0.06
6.809,-0.01,0.02,-0.08,-0.04,-0.02,-0.06
6.811,-0.01,0.02,-0.08,-0.04,-0.02,-0.06
6.814,-0.01,0.02,-0.08,-0.02,0.01,-0.06
6.814,-0.02,0.02,-0.08,-0.02,0.01,-0.06
6.815,-0.02,0.02,-0.08,-0.02,0.01,-0.06
6.816,-0.02,0.02,-0.08,-0.02,0.01,-0.06
6.818,-0.02,0.02,-0.09,-0.02,0.01,-0.06
6.82,-0.02,0.02,-0.08,-0.02,0.01,-0.06
6.829,-0.02,0.02,-0.08,-0.05,0,-0.02
6.83,-0.02,0.02,-0.08,-0.05,0,-0.02
6.844,-0.03,0.02,-0.09,-0.05,0,-0.02
6.844,-0.03,0.02,-0.08,-0.05,0,-0.02
6.845,-0.03,0.02,-0.09,-0.05,0,-0.02
6.845,-0.03,0.02,-0.08,-0.05,0,-0.02
6.845,-0.03,0.02,-0.08,-0.01,-0.03,-0.02
6.845,-0.03,0.02,-0.08,-0.01,-0.03,-0.02
6.846,-0.03,0.02,-0.08,-0.01,-0.03,-0.02
6.846,-0.03,0.02,-0.08,-0.01,-0.03,-0.02
6.846,-0.03,0.02,-0.08,-0.01,-0.03,-0.02
6.847,-0.03,0.02,-0.09,-0.01,-0.03,-0.02
6.847,-0.03,0.02,-0.09,-0.02,-0.03,0
6.847,-0.03,0.02,-0.08,-0.02,-0.03,0
6.847,-0.03,0.02,-0.08,-0.02,-0.03,0
6.848,-0.03,0.02,-0.08,-0.02,-0.03,0
6.849,-0.03,0.02,-0.09,-0.02,-0.03,0
6.851,-0.03,0.02,-0.09,-0.02,-0.03,0
6.855,-0.03,0.02,-0.09,-0.04,-0.03,0.01
6.855,-0.03,0.01,-0.09,-0.04,-0.03,0.01
6.856,-0.03,0.01,-0.09,-0.04,-0.03,0.01
6.857,-0.03,0.01,-0.09,-0.04,-0.03,0.01
6.859,-0.02,0.02,-0.08,-0.04,-0.03,0.01
6.861,-0.02,0.02,-0.09,-0.04,-0.03,0.01
6.865,-0.02,0.02,-0.09,-0.03,-0.03,0.01
6.866,-0.02,0.02,-0.09,-0.03,-0.03,0.01
6.866,-0.02,0.02,-0.08,-0.03,-0.03,0.01
6.867,-0.02,0.02,-0.09,-0.03,-0.03,0.01
6.869,-0.02,0.03,-0.09,-0.03,-0.03,0.01
6.871,-0.02,0.03,-0.08,-0.03,-0.03,0.01
6.873,-0.02,0.02,-0.08,-0.03,-0.03,0.01
6.874,-0.02,0.02,-0.08,-0.04,-0.03,-0.05
6.877,-0.02,0.03,-0.08,-0.04,-0.03,-0.05
6.878,-0.03,0.03,-0.08,-0.04,-0.03,-0.05
6.879,-0.03,0.02,-0.08,-0.04,-0.03,-0.05
6.881,-0.03,0.02,-0.08,-0.04,-0.03,-0.05
6.885,-0.03,0.02,-0.08,-0.09,-0.05,-0.07
6.885,-0.03,0.02,-0.08,-0.09,-0.05,-0.07
6.886,-0.03,0.03,-0.08,-0.09,-0.05,-0.07
6.887,-0.03,0.03,-0.08,-0.09,-0.05,-0.07
6.889,-0.03,0.03,-0.08,-0.09,-0.05,-0.07
6.892,-0.03,0.03,-0.08,-0.09,-0.05,-0.07
6.894,-0.03,0.03,-0.08,-0.06,-0.05,-0.09
6.895,-0.03,0.03,-0.08,-0.06,-0.05,-0.09
6.895,-0.03,0.03,-0.08,-0.06,-0.05,-0.09
6.897,-0.03,0.03,-0.08,-0.06,-0.05,-0.09
6.899,-0.03,0.03,-0.08,-0.06,-0.05,-0.09
6.901,-0.03,0.03,-0.08,-0.06,-0.05,-0.09
6.905,-0.03,0.03,-0.08,-0.08,-0.06,-0.04
6.906,-0.03,0.02,-0.08,-0.08,-0.06,-0.04
6.906,-0.03,0.02,-0.08,-0.08,-0.06,-0.04
6.907,-0.03,0.02,-0.08,-0.08,-0.06,-0.04
6.909,-0.04,0.02,-0.08,-0.08,-0.06,-0.04
6.911,-0.03,0.02,-0.08,-0.08,-0.06,-0.04
6.913,-0.03,0.02,-0.08,-0.06,-0.03,-0.02
6.914,-0.03,0.02,-0.08,-0.06,-0.03,-0.02
6.914,-0.03,0.02,-0.08,-0.06,-0.03,-0.02
6.916,-0.03,0.02,-0.08,-0.06,-0.03,-0.02
6.918,-0.03,0.02,-0.08,-0.06,-0.03,-0.02
6.92,-0.03,0.02,-0.08,-0.06,-0.03,-0.02
6.931,-0.03,0.02,-0.08,-0.02,0,0.02
6.931,-0.03,0.02,-0.08,-0.02,0,0.02
6.932,-0.03,0.02,-0.08,-0.02,0,0.02
6.932,-0.03,0.02,-0.08,-0.02,0,0.02
6.932,-0.03,0.02,-0.08,-0.02,0,0.02
6.932,-0.03,0.02,-0.08,-0.02,0,0.02
6.934,-0.03,0.02,-0.08,-0.01,0.02,-0.01
6.934,-0.03,0.02,-0.08,-0.01,0.02,-0.01
6.934,-0.03,0.02,-0.08,-0.01,0.02,-0.01
6.937,-0.03,0.02,-0.08,-0.01,0.02,-0.01
6.947,-0.03,0.02,-0.08,-0.01,0.02,-0.01
6.948,-0.03,0.02,-0.08,-0.01,0.02,-0.01
6.949,-0.03,0.02,-0.08,-0.04,0.03,-0.06
6.95,-0.03,0.02,-0.08,-0.04,0.03,-0.06
6.95,-0.03,0.02,-0.08,-0.04,0.03,-0.06
6.95,-0.04,0.02,-0.08,-0.04,0.03,-0.06
6.951,-0.04,0.02,-0.08,-0.04,0.03,-0.06
6.952,-0.04,0.02,-0.08,-0.04,0.03,-0.06
6.954,-0.04,0.02,-0.08,-0.04,0.03,-0.06
6.954,-0.04,0.02,-0.08,-0.04,0.03,-0.06
6.954,-0.04,0.02,-0.08,-0.04,0.03,-0.06
6.956,-0.05,0.02,-0.08,-0.04,0.03,-0.06
6.96,-0.05,0.02,-0.07,-0.04,0.03,-0.06
6.962,-0.04,0.02,-0.07,-0.04,0.03,-0.06
6.965,-0.04,0.02,-0.07,-0.03,0.02,-0.04
6.965,-0.05,0.02,-0.07,-0.03,0.02,-0.04
6.965,-0.05,0.02,-0.07,-0.03,0.02,-0.04
6.967,-0.05,0.02,-0.07,-0.03,0.02,-0.04
6.968,-0.05,0.02,-0.07,-0.03,0.02,-0.04
6.97,-0.05,0.02,-0.07,-0.03,0.02,-0.04
6.973,-0.05,0.02,-0.07,0,0.07,-0.02
6.974,-0.05,0.02,-0.07,0,0.07,-0.02
6.975,-0.05,0.02,-0.07,0,0.07,-0.02
6.977,-0.05,0.02,-0.07,0,0.07,-0.02
6.979,-0.05,0.02,-0.07,0,0.07,-0.02
6.981,-0.05,0.02,-0.07,0,0.07,-0.02
6.985,-0.05,0.02,-0.07,-0.01,0.08,0
6.985,-0.05,0.01,-0.07,-0.01,0.08,0
6.986,-0.05,0.01,-0.07,-0.01,0.08,0
6.987,-0.05,0.01,-0.07,-0.01,0.08,0
6.988,-0.05,0.01,-0.06,-0.01,0.08,0
6.991,-0.05,0.01,-0.07,-0.01,0.08,0
7.007,-0.05,0.01,-0.07,-0.02,0.09,-0.01
7.008,-0.05,0.01,-0.07,-0.02,0.09,-0.01
7.008,-0.05,0.02,-0.06,-0.02,0.09,-0.01
7.009,-0.05,0.02,-0.06,-0.02,0.09,-0.01
7.009,-0.05,0.02,-0.06,-0.02,0.09,-0.01
7.009,-0.05,0.02,-0.06,-0.02,0.09,-0.01
7.01,-0.05,0.02,-0.06,-0.03,0.07,0.01
7.01,-0.05,0.02,-0.06,-0.03,0.07,0.01
7.011,-0.05,0.02,-0.06,-0.03,0.07,0.01
7.011,-0.05,0.02,-0.06,-0.03,0.07,0.01
7.011,-0.05,0.02,-0.05,-0.03,0.07,0.01
7.012,-0.05,0.02,-0.05,-0.03,0.07,0.01
7.014,-0.05,0.02,-0.05,-0.03,0.08,0.04
7.015,-0.04,0.02,-0.05,-0.03,0.08,0.04
7.016,-0.04,0.02,-0.05,-0.03,0.08,0.04
7.019,-0.04,0.01,-0.05,-0.03,0.08,0.04
7.019,-0.04,0.02,-0.05,-0.03,0.08,0.04
7.021,-0.04,0.01,-0.05,-0.03,0.08,0.04
7.034,-0.04,0.01,-0.05,0.03,0.09,0.1
7.035,-0.04,0.02,-0.05,0.03,0.09,0.1
7.035,-0.03,0.02,-0.05,0.03,0.09,0.1
7.035,-0.03,0.02,-0.05,0.03,0.09,0.1
7.036,-0.03,0.02,-0.05,0.03,0.09,0.1
7.036,-0.03,0.02,-0.05,0.03,0.09,0.1
7.036,-0.03,0.02,-0.05,0,0.11,0.15
7.037,-0.02,0.02,-0.05,0,0.11,0.15
7.037,-0.02,0.02,-0.05,0,0.11,0.15
7.037,-0.02,0.02,-0.05,0,0.11,0.15
7.039,-0.02,0.02,-0.05,0,0.11,0.15
7.055,-0.01,0.02,-0.05,0,0.11,0.15
7.056,-0.01,0.02,-0.05,-0.01,0.12,0.16
7.056,-0.01,0.02,-0.05,-0.01,0.12,0.16
7.056,-0.01,0.02,-0.05,-0.01,0.12,0.16
7.056,-0.01,0.02,-0.05,-0.01,0.12,0.16
7.057,0,0.02,-0.05,-0.01,0.12,0.16
7.057,0,0.02,-0.05,-0.01,0.12,0.16
7.057,0,0.02,-0.05,0.02,0.13,0.15
7.057,0,0.02,-0.05,0.02,0.13,0.15
7.058,0,0.02,-0.05,0.02,0.13,0.15
7.058,0,0.03,-0.05,0.02,0.13,0.15
7.061,0,0.02,-0.05,0.02,0.13,0.15
7.062,0,0.03,-0.05,0.02,0.13,0.15
7.064,0,0.03,-0.05,-0.04,0.13,0.1
7.065,0,0.02,-0.05,-0.04,0.13,0.1
7.065,0,0.02,-0.05,-0.04,0.13,0.1
7.067,0,0.02,-0.05,-0.04,0.13,0.1
7.068,0,0.02,-0.05,-0.04,0.13,0.1
7.07,0,0.01,-0.05,-0.04,0.13,0.1
7.073,0,0.01,-0.05,-0.04,0.07,0.06
7.074,0,0.01,-0.05,-0.04,0.07,0.06
7.076,0,0.01,-0.04,-0.04,0.07,0.06
7.078,0,0,-0.05,-0.04,0.07,0.06
7.079,0,0.01,-0.05,-0.04,0.07,0.06
7.081,0,0,-0.04,-0.04,0.07,0.06
7.085,0,0,-0.04,-0.02,0.04,0.1
7.085,0,0,-0.05,-0.02,0.04,0.1
7.086,0,0,-0.04,-0.02,0.04,0.1
7.087,0,0,-0.05,-0.02,0.04,0.1
7.089,0,0,-0.04,-0.02,0.04,0.1
7.09,0,0,-0.05,-0.02,0.04,0.1
7.094,-0.01,0,-0.05,-0.02,0.04,0.1
7.096,-0.01,0,-0.05,0.01,0.03,0.11
7.097,-0.01,0.01,-0.04,0.01,0.03,0.11
7.098,-0.01,0.01,-0.04,0.01,0.03,0.11
7.099,-0.01,0.02,-0.04,0.01,0.03,0.11
7.1,-0.01,0.02,-0.04,0.01,0.03,0.11
7.105,-0.01,0.02,-0.04,0,0.03,0.08
7.105,0,0.02,-0.04,0,0.03,0.08
7.105,-0.01,0.02,-0.04,0,0.03,0.08
7.107,-0.01,0.03,-0.04,0,0.03,0.08
7.113,0,0.03,-0.04,0,0.03,0.08
7.114,0,0.03,-0.05,0,0.03,0.08
7.114,0,0.03,-0.05,-0.01,0.02,0.04
7.115,-0.01,0.03,-0.04,-0.01,0.02,0.04
7.117,0,0.03,-0.04,-0.01,0.02,0.04
7.119,0,0.03,-0.04,-0.01,0.02,0.04
7.12,0,0.03,-0.04,-0.01,0.02,0.04
7.122,0,0.03,-0.04,-0.01,0.02,0.04
7.133,0,0.03,-0.04,0.02,0,0.05
7.133,0,0.02,-0.05,0.02,0,0.05
7.134,0,0.03,-0.04,0.02,0,0.05
7.134,0,0.02,-0.05,0.02,0,0.05
7.134,0,0.02,-0.05,0.02,0,0.05
7.134,0,0.02,-0.05,0.02,0,0.05
7.135,0,0.02,-0.05,0.02,0.01,0.06
7.135,0,0.02,-0.05,0.02,0.01,0.06
7.135,0,0.02,-0.05,0.02,0.01,0.06
7.137,0,0.02,-0.05,0.02,0.01,0.06
7.138,0.01,0.03,-0.05,0.02,0.01,0.06
7.141,0,0.03,-0.05,0.02,0.01,0.06
7.145,0,0.03,-0.05,0.01,-0.02,0.02
7.145,0,0.03,-0.05,0.01,-0.02,0.02
7.145,0,0.03,-0.05,0.01,-0.02,0.02
7.147,0,0.04,-0.05,0.01,-0.02,0.02
7.149,0,0.04,-0.04,0.01,-0.02,0.02
7.151,0,0.05,-0.05,0.01,-0.02,0.02
7.154,0,0.05,-0.05,0.01,-0.02,-0.05
7.154,0,0.05,-0.04,0.01,-0.02,-0.05
7.155,-0.01,0.05,-0.04,0.01,-0.02,-0.05
7.156,0,0.06,-0.05,0.01,-0.02,-0.05
7.165,-0.01,0.06,-0.05,0.01,-0.02,-0.05
7.166,-0.01,0.06,-0.06,0.01,-0.02,-0.05
7.166,-0.01,0.07,-0.05,0.01,-0.02,-0.05
7.166,-0.01,0.07,-0.05,-0.11,-0.11,-0.03
7.166,-0.01,0.07,-0.04,-0.11,-0.11,-0.03
7.168,-0.01,0.07,-0.04,-0.11,-0.11,-0.03
7.171,-0.01,0.07,-0.03,-0.11,-0.11,-0.03
7.171,0,0.06,-0.03,-0.11,-0.11,-0.03
7.176,0,0.06,-0.03,-0.01,-0.11,-0.04
7.177,0,0.06,-0.03,-0.01,-0.11,-0.04
7.177,0,0.05,-0.03,-0.01,-0.11,-0.04
7.177,0,0.05,-0.03,-0.01,-0.11,-0.04
7.18,0,0.04,-0.04,-0.01,-0.11,-0.04
7.182,0,0.04,-0.04,-0.01,-0.11,-0.04
7.185,0,0.04,-0.04,0.04,-0.05,0.03
7.186,0.01,0.03,-0.05,0.04,-0.05,0.03
7.186,0.01,0.02,-0.05,0.04,-0.05,0.03
7.189,0.01,0.02,-0.05,0.04,-0.05,0.03
7.189,0.01,0.01,-0.04,0.04,-0.05,0.03
7.192,0.01,0.01,-0.04,0.04,-0.05,0.03
7.195,0.01,0.01,-0.04,0,-0.07,0.09
7.195,0.02,0.02,-0.04,0,-0.07,0.09
7.197,0.02,0.01,-0.04,0,-0.07,0.09
7.199,0.02,0.02,-0.04,0,-0.07,0.09
7.199,0.02,0.02,-0.04,0,-0.07,0.09
7.201,0.02,0.02,-0.04,0,-0.07,0.09
7.204,0.02,0.03,-0.04,0,-0.07,0.09
7.204,0.02,0.03,-0.04,0.06,-0.09,0.02
7.205,0.02,0.03,-0.04,0.06,-0.09,0.02
7.207,0.02,0.03,-0.04,0.06,-0.09,0.02
7.211,0.02,0.03,-0.04,0.06,-0.09,0.02
7.211,0.02,0.03,-0.04,0.06,-0.09,0.02
7.213,0.02,0.03,-0.04,0.01,-0.08,-0.05
7.214,0.02,0.04,-0.04,0.01,-0.08,-0.05
7.215,0.01,0.04,-0.04,0.01,-0.08,-0.05
7.217,0.01,0.04,-0.04,0.01,-0.08,-0.05
7.219,0.01,0.04,-0.03,0.01,-0.08,-0.05
7.221,0.01,0.04,-0.04,0.01,-0.08,-0.05
7.227,0.01,0.04,-0.04,-0.02,-0.09,-0.03
7.228,0.01,0.04,-0.03,-0.02,-0.09,-0.03
7.228,0.01,0.04,-0.03,-0.02,-0.09,-0.03
7.228,0.01,0.03,-0.03,-0.02,-0.09,-0.03
7.229,0,0.03,-0.03,-0.02,-0.09,-0.03
7.231,0,0.03,-0.03,-0.02,-0.09,-0.03
7.234,0,0.03,-0.03,-0.01,-0.09,0.02
7.235,0.01,0.03,-0.03,-0.01,-0.09,0.02
7.235,0.01,0.03,-0.03,-0.01,-0.09,0.02
7.237,0,0.02,-0.03,-0.01,-0.09,0.02
7.24,0,0.02,-0.03,-0.01,-0.09,0.02
7.244,0.01,0.02,-0.03,-0.01,-0.09,0.02
7.246,0.01,0.02,-0.03,0,-0.1,0.05
7.246,0.01,0.02,-0.03,0,-0.1,0.05
7.247,0.01,0.02,-0.03,0,-0.1,0.05
7.247,0.01,0.02,-0.03,0,-0.1,0.05
7.249,0,0.03,-0.03,0,-0.1,0.05
7.251,0.01,0.03,-0.03,0,-0.1,0.05
7.254,0.01,0.03,-0.03,0,-0.1,0.05
7.254,0.01,0.03,-0.03,0.01,-0.09,0.01
7.254,0.01,0.03,-0.03,0.01,-0.09,0.01
7.257,0.01,0.03,-0.02,0.01,-0.09,0.01
7.26,0.01,0.02,-0.02,0.01,-0.09,0.01
7.262,0.01,0.02,-0.02,0.01,-0.09,0.01
7.265,0.01,0.02,-0.02,-0.01,-0.1,-0.02
7.265,0.01,0.02,-0.02,-0.01,-0.1,-0.02
7.265,0.01,0.02,-0.02,-0.01,-0.1,-0.02
7.268,0.01,0.02,-0.02,-0.01,-0.1,-0.02
7.268,0.01,0.02,-0.02,-0.01,-0.1,-0.02
7.27,0,0.02,-0.02,-0.01,-0.1,-0.02
7.274,0,0.02,-0.02,-0.01,-0.08,-0.02
7.274,0.01,0.02,-0.02,-0.01,-0.08,-0.02
7.277,0,0.02,-0.02,-0.01,-0.08,-0.02
7.278,0,0.02,-0.02,-0.01,-0.08,-0.02
7.279,0,0.02,-0.02,-0.01,-0.08,-0.02
7.281,0,0.02,-0.01,-0.01,-0.08,-0.02
