time,wx,wy,wz,ax,ay,az
0.168,-0.05,-0.01,-0.03,-0.01,0.07,0.22
0.168,-0.05,0,-0.03,-0.01,0.07,0.22
0.169,-0.05,0,-0.03,-0.01,0.07,0.22
0.169,-0.05,0,-0.03,-0.01,0.07,0.22
0.17,-0.05,0,-0.03,-0.01,0.07,0.22
0.172,-0.04,0.01,-0.03,-0.01,0.07,0.22
0.175,-0.04,0.01,-0.03,-0.02,0.04,0.21
0.175,-0.04,0.01,-0.03,-0.02,0.04,0.21
0.175,-0.04,0.01,-0.03,-0.02,0.04,0.21
0.178,-0.04,0.01,-0.02,-0.02,0.04,0.21
0.179,-0.04,0.01,-0.02,-0.02,0.04,0.21
0.182,-0.03,0.01,-0.02,-0.02,0.04,0.21
0.186,-0.03,0.01,-0.02,-0.02,0.04,0.21
0.186,-0.03,0.01,-0.02,-0.03,0.01,0.21
0.186,-0.03,0.01,-0.02,-0.03,0.01,0.21
0.187,-0.03,0.01,-0.01,-0.03,0.01,0.21
0.189,-0.03,0.01,-0.01,-0.03,0.01,0.21
0.191,-0.03,0.01,-0.01,-0.03,0.01,0.21
0.201,-0.03,0.01,-0.01,0.01,-0.01,0.19
0.201,-0.02,0.02,-0.01,0.01,-0.01,0.19
0.202,-0.02,0.02,-0.01,0.01,-0.01,0.19
0.202,-0.02,0.02,-0.01,0.01,-0.01,0.19
0.202,-0.02,0.02,-0.01,0.01,-0.01,0.19
0.202,-0.02,0.03,-0.01,0.01,-0.01,0.19
0.207,-0.02,0.03,-0.01,0.04,-0.01,0.07
0.207,-0.03,0.04,-0.01,0.04,-0.01,0.07
0.207,-0.03,0.04,-0.01,0.04,-0.01,0.07
0.207,-0.03,0.04,-0.01,0.04,-0.01,0.07
0.21,-0.03,0.04,-0.01,0.04,-0.01,0.07
0.212,-0.03,0.04,-0.01,0.04,-0.01,0.07
0.215,-0.03,0.04,-0.01,0,0,-0.02
0.216,-0.04,0.05,-0.01,0,0,-0.02
0.216,-0.04,0.05,-0.01,0,0,-0.02
0.217,-0.04,0.05,-0.01,0,0,-0.02
0.219,-0.05,0.05,-0.01,0,0,-0.02
0.221,-0.05,0.05,-0.01,0,0,-0.02
0.225,-0.05,0.05,-0.01,0.04,0.02,-0.08
0.225,-0.05,0.06,-0.01,0.04,0.02,-0.08
0.225,-0.06,0.06,-0.01,0.04,0.02,-0.08
0.227,-0.06,0.06,-0.01,0.04,0.02,-0.08
0.229,-0.06,0.06,-0.01,0.04,0.02,-0.08
0.231,-0.06,0.06,-0.01,0.04,0.02,-0.08
0.235,-0.06,0.06,-0.01,0,0.01,-0.07
0.235,-0.06,0.06,-0.01,0,0.01,-0.07
0.235,-0.05,0.06,-0.01,0,0.01,-0.07
0.237,-0.05,0.06,-0.01,0,0.01,-0.07
0.239,-0.05,0.06,-0.01,0,0.01,-0.07
0.241,-0.05,0.06,-0.01,0,0.01,-0.07
0.245,-0.05,0.06,-0.01,0,0.01,-0.05
0.246,-0.04,0.05,0,0,0.01,-0.05
0.246,-0.04,0.05,-0.01,0,0.01,-0.05
0.247,-0.04,0.05,-0.01,0,0.01,-0.05
0.249,-0.03,0.04,0,0,0.01,-0.05
0.251,-0.03,0.04,0,0,0.01,-0.05
0.254,-0.03,0.04,0,0,0.02,-0.09
0.254,-0.03,0.03,-0.01,0,0.02,-0.09
0.255,-0.02,0.03,0,0,0.02,-0.09
0.257,-0.02,0.03,0,0,0.02,-0.09
0.261,-0.02,0.03,0,0,0.02,-0.09
0.262,-0.02,0.02,0,0,0.02,-0.09
0.266,-0.02,0.02,0,-0.01,0.02,-0.19
0.266,-0.01,0.02,0,-0.01,0.02,-0.19
0.266,-0.02,0.02,0,-0.01,0.02,-0.19
0.267,-0.01,0.01,0,-0.01,0.02,-0.19
0.269,-0.01,0,0,-0.01,0.02,-0.19
0.271,-0.02,0,0,-0.01,0.02,-0.19
0.274,-0.02,0,0,-0.03,-0.02,-0.24
0.274,-0.01,-0.01,0,-0.03,-0.02,-0.24
0.275,-0.02,-0.02,0,-0.03,-0.02,-0.24
0.277,-0.02,-0.03,0,-0.03,-0.02,-0.24
0.28,-0.02,-0.04,0,-0.03,-0.02,-0.24
0.281,-0.02,-0.04,0,-0.03,-0.02,-0.24
0.285,-0.02,-0.04,0,-0.09,-0.06,-0.12
0.285,-0.02,-0.05,0.01,-0.09,-0.06,-0.12
0.285,-0.02,-0.05,0,-0.09,-0.06,-0.12
0.287,-0.01,-0.06,0.01,-0.09,-0.06,-0.12
0.289,-0.01,-0.06,0.01,-0.09,-0.06,-0.12
0.291,-0.01,-0.06,0.01,-0.09,-0.06,-0.12
0.302,-0.01,-0.06,0.01,-0.09,-0.06,-0.12
0.302,-0.01,-0.06,0.01,-0.03,-0.02,-0.01
0.302,-0.01,-0.06,0.01,-0.03,-0.02,-0.01
0.303,-0.01,-0.06,0.01,-0.03,-0.02,-0.01
0.303,0,-0.06,0.01,-0.03,-0.02,-0.01
0.303,0,-0.06,0.01,-0.03,-0.02,-0.01
0.306,0,-0.06,0.01,-0.03,-0.02,-0.01
0.307,0,-0.06,0.01,-0.02,0,0.05
0.307,0,-0.05,0.01,-0.02,0,0.05
0.307,0,-0.05,0.01,-0.02,0,0.05
0.311,0,-0.05,0.01,-0.02,0,0.05
0.312,0,-0.05,0.01,-0.02,0,0.05
0.315,0,-0.05,0.01,-0.02,0.02,0.05
0.316,0,-0.05,0.01,-0.02,0.02,0.05
0.317,0,-0.05,0.01,-0.02,0.02,0.05
0.317,0,-0.05,0.01,-0.02,0.02,0.05
0.319,0,-0.05,0.01,-0.02,0.02,0.05
0.322,-0.01,-0.04,0.01,-0.02,0.02,0.05
0.325,-0.01,-0.03,0.01,-0.02,0.02,0.05
0.326,-0.01,-0.03,0.01,-0.04,0.01,-0.01
0.337,-0.01,-0.03,0.02,-0.04,0.01,-0.01
0.337,-0.02,-0.03,0.02,-0.04,0.01,-0.01
0.337,-0.03,-0.03,0.02,-0.04,0.01,-0.01
0.338,-0.03,-0.02,0.02,-0.04,0.01,-0.01
0.338,-0.03,-0.02,0.02,-0.01,0.01,0.01
0.339,-0.04,-0.02,0.02,-0.01,0.01,0.01
0.339,-0.04,-0.02,0.02,-0.01,0.01,0.01
0.339,-0.04,-0.01,0.02,-0.01,0.01,0.01
0.339,-0.04,0,0.02,-0.01,0.01,0.01
0.342,-0.05,0.01,0.02,-0.01,0.01,0.01
0.346,-0.05,0.01,0.02,-0.01,0.01,0.01
