time,ax,ay,az,wx,wy,wz
5.285,-0.18,-0.26,-0.03,-0.06,0.05,-0.16
5.296,-0.12,-0.26,0.04,-0.05,0.05,-0.15
5.307,-0.13,-0.25,0.08,-0.03,0.05,-0.15
5.319,-0.14,-0.2,0.11,-0.01,0.03,-0.15
5.345,-0.14,-0.19,0.15,-0.01,0.03,-0.15
5.355,-0.12,-0.2,0.18,-0.04,0.06,-0.15
5.366,-0.04,-0.2,0.25,-0.06,0.06,-0.15
5.376,-0.02,-0.17,0.28,-0.06,0.05,-0.14
5.387,-0.03,-0.19,0.32,-0.05,0.05,-0.12
5.397,-0.05,-0.24,0.31,-0.03,0.04,-0.1
5.411,-0.02,-0.25,0.3,-0.03,0.04,-0.09
5.429,0,-0.26,0.29,0,0.03,-0.07
5.441,0.04,-0.32,0.27,0.02,0.08,-0.05
5.455,0.04,-0.29,0.07,0.02,0.1,-0.05
5.466,0.09,-0.3,-0.02,0,0.13,-0.05
5.477,0.06,-0.28,-0.04,0,0.14,-0.06
5.488,0.08,-0.19,-0.09,0,0.15,-0.07
5.504,0.08,-0.19,-0.09,0,0.15,-0.08
5.514,0.03,-0.12,-0.18,0.02,0.12,-0.09
5.527,0.03,-0.12,-0.18,0.03,0.11,-0.09
5.544,0.04,-0.11,-0.24,0.02,0.08,-0.07
5.554,0.11,-0.1,-0.14,0.01,0.05,-0.06
5.565,0.12,-0.12,-0.11,0,0.04,-0.06
5.576,0.1,-0.15,-0.12,-0.01,0.03,-0.05
5.586,0.13,-0.1,-0.13,-0.01,0.01,-0.05
5.597,0.1,-0.18,-0.08,-0.02,-0.01,-0.04
5.609,0.14,-0.24,-0.01,-0.02,-0.03,-0.04
5.62,0.14,-0.21,0.02,-0.02,-0.04,-0.05
5.631,0.1,-0.21,0.08,-0.01,-0.03,-0.05
5.648,0.12,-0.2,0.11,-0.01,-0.01,-0.05
5.67,0.15,-0.14,0.11,-0.02,0.03,-0.06
5.682,0.11,-0.09,0.08,-0.02,0.05,-0.06
5.694,0.09,-0.03,0.11,0,0.05,-0.05
5.707,0.05,0,0.08,0.01,0.05,-0.05
5.719,-0.01,0.01,0.03,0.03,0.02,-0.03
5.73,-0.03,-0.04,0.05,0.03,0.02,-0.03
5.751,0.01,-0.02,0.03,0.04,0,-0.03
5.765,-0.03,0,-0.02,0.05,-0.02,-0.03
5.775,-0.05,-0.01,-0.1,0.04,-0.03,-0.03
5.786,-0.05,-0.04,-0.08,0.02,-0.04,-0.03
5.797,-0.01,-0.04,-0.02,0,-0.04,-0.03
5.807,-0.01,0.01,0.03,-0.01,-0.03,-0.03
5.819,-0.02,0.04,0.07,0,-0.01,-0.03
5.83,-0.02,0.05,0.12,0,-0.01,-0.03
5.844,-0.02,0.05,0.12,0,0,-0.03
5.855,-0.05,0.12,0.11,0.04,0.05,-0.04
5.867,-0.09,0.12,0.02,0.05,0.05,-0.03
5.879,-0.13,0.08,0.01,0.05,0.04,-0.03
5.89,-0.1,0.06,0.01,0.04,0.06,-0.02
5.9,-0.12,0.07,0.05,0.04,0.08,-0.02
5.911,-0.15,0.09,-0.04,0.04,0.07,-0.01
5.921,-0.11,0.12,-0.14,0.03,0.06,-0.01
5.932,-0.15,0.08,-0.2,0.01,0.04,-0.01
5.947,-0.19,0.02,-0.1,0,0.02,0
5.96,-0.11,0.05,-0.03,0.02,0.04,0
5.972,-0.13,0.04,-0.16,0.02,0.04,0.01
5.986,-0.15,0.01,-0.14,0.01,0.03,0
6.003,-0.16,0.02,-0.06,0,0.02,0
6.014,-0.1,0.06,-0.07,0.02,0.02,-0.01
6.029,-0.09,0.05,-0.05,0.02,0.01,-0.01
6.047,-0.05,0.07,0.02,0.01,0,-0.01
6.058,-0.04,0.1,0.03,0,0.01,0
6.069,-0.02,0.08,0.02,-0.01,0.02,0.01
6.081,-0.06,0.06,0.02,-0.02,0.03,0.02
6.092,-0.06,0.04,0.05,-0.02,0.02,0.02
6.104,-0.08,0.05,0.01,-0.02,-0.01,0.02
6.115,0,0.01,0.04,-0.01,-0.01,0.01
6.133,-0.05,0.02,0.04,0,0,0.02
6.146,0.04,-0.01,0.04,0.03,-0.01,0.01
6.159,0,-0.02,0.02,0.03,-0.02,0
6.174,0,-0.02,0.02,0.03,-0.02,0
6.185,0.01,-0.03,-0.09,0.01,0.01,0.01
6.195,0,-0.01,-0.06,0,0,0.01
6.206,0.04,0.01,-0.08,0,0,0.01
6.217,0.03,0,-0.09,-0.02,-0.01,0.01
6.233,-0.01,-0.01,-0.05,-0.02,-0.01,0.01
6.243,0.04,-0.04,0.02,-0.01,-0.01,0.01
6.254,0.07,-0.01,0.03,-0.01,-0.01,0.02
6.265,0.02,-0.03,0.06,-0.01,0,0.02
6.275,0.04,-0.02,0.05,0,0.01,0.02
6.286,0.04,-0.01,0.05,0,0,0.01
6.298,0.05,0.01,0.02,0,-0.01,0.01
6.309,0.01,-0.01,-0.02,0,0,0.01
6.32,0.06,-0.04,0.04,0,0,0
6.346,0.03,-0.01,0.1,0,-0.01,0
6.359,0.04,-0.04,-0.03,-0.01,0,-0.02
6.371,0.05,-0.07,0,-0.01,-0.02,-0.02
6.385,0.08,-0.07,0.16,0,-0.02,-0.03
6.396,0.07,-0.04,0.13,0.01,0,-0.03
6.411,0.04,-0.08,0.05,0.01,0.01,-0.03
6.421,0.02,-0.1,0.04,0,0,-0.03
6.434,0.05,-0.09,0.12,0,0.01,-0.04
6.445,-0.02,-0.06,0.01,0.01,0.04,-0.04
6.458,-0.01,-0.06,-0.12,0.01,0.05,-0.04
6.469,-0.01,-0.13,-0.17,0,0.02,-0.03
6.481,-0.02,-0.09,-0.14,0.01,-0.01,-0.04
6.493,-0.01,-0.04,-0.1,0.01,-0.02,-0.05
6.505,0.01,-0.05,-0.12,0.01,-0.02,-0.05
6.516,-0.02,-0.1,-0.15,0,-0.01,-0.05
6.528,0.02,-0.06,0,0,-0.01,-0.05
6.539,0.05,0.03,0.07,0.01,-0.02,-0.06
6.549,0.06,-0.01,0.06,0.01,-0.01,-0.06
6.56,0.02,-0.05,-0.01,0,-0.02,-0.06
6.571,-0.01,-0.08,0.02,0,-0.03,-0.07
6.581,0.06,-0.02,0.09,0,-0.02,-0.07
6.592,0.07,0.02,0.11,0,0,-0.06
6.605,0.07,0.03,0.1,0,0,-0.07
6.619,0.05,0.04,0.1,0,0,-0.06
6.63,0.06,0.05,0.03,0,0.01,-0.06
6.642,0.05,0.07,0.01,-0.01,0.01,-0.05
6.654,0.06,0.09,0,-0.01,-0.01,-0.05
6.672,0.06,0.09,0,0,-0.01,-0.05
6.686,0.05,0.08,-0.04,0.01,-0.02,-0.05
6.697,0.03,0.08,-0.04,0.02,-0.03,-0.06
6.709,-0.02,0.02,-0.05,0.02,-0.02,-0.05
6.719,0.05,0.04,-0.1,0.01,-0.02,-0.06
6.73,-0.01,0.04,-0.03,0.01,-0.02,-0.06
6.744,-0.02,0.03,0.01,0.02,-0.02,-0.07
6.757,-0.03,0.01,-0.03,0.04,-0.03,-0.07
6.767,-0.06,0,-0.03,0.04,-0.03,-0.07
6.779,-0.05,0,-0.02,0.04,-0.01,-0.07
6.792,-0.02,0,-0.05,0.02,0,-0.08
6.806,-0.04,-0.02,-0.06,0.01,0.01,-0.08
6.818,-0.02,0.01,-0.06,-0.02,0.02,-0.09
6.829,-0.05,0,-0.02,-0.02,0.02,-0.08
6.844,-0.05,0,-0.02,-0.03,0.02,-0.09
6.855,-0.04,-0.03,0.01,-0.03,0.02,-0.09
6.866,-0.03,-0.03,0.01,-0.02,0.02,-0.09
6.877,-0.04,-0.03,-0.05,-0.02,0.03,-0.08
6.889,-0.09,-0.05,-0.07,-0.03,0.03,-0.08
6.901,-0.06,-0.05,-0.09,-0.03,0.03,-0.08
6.913,-0.06,-0.03,-0.02,-0.03,0.02,-0.08
6.931,-0.02,0,0.02,-0.03,0.02,-0.08
6.947,-0.01,0.02,-0.01,-0.03,0.02,-0.08
6.96,-0.04,0.03,-0.06,-0.05,0.02,-0.07
6.973,0,0.07,-0.02,-0.05,0.02,-0.07
6.985,-0.01,0.08,0,-0.05,0.02,-0.07
7.007,-0.02,0.09,-0.01,-0.05,0.01,-0.07
7.019,-0.03,0.08,0.04,-0.04,0.01,-0.05
7.034,0.03,0.09,0.1,-0.04,0.01,-0.05
7.055,0,0.11,0.15,-0.01,0.02,-0.05
7.065,-0.04,0.13,0.1,0,0.02,-0.05
7.076,-0.04,0.07,0.06,0,0.01,-0.04
7.086,-0.02,0.04,0.1,0,0,-0.04
7.097,0.01,0.03,0.11,-0.01,0.01,-0.04
7.113,0,0.03,0.08,0,0.03,-0.04
7.133,0.02,0,0.05,0,0.03,-0.04
7.145,0.01,-0.02,0.02,0,0.03,-0.05
7.155,0.01,-0.02,-0.05,-0.01,0.05,-0.04
7.166,0.01,-0.02,-0.05,-0.01,0.06,-0.06
7.177,-0.01,-0.11,-0.04,0,0.06,-0.03
7.189,0.04,-0.05,0.03,0.01,0.02,-0.05
7.201,0,-0.07,0.09,0.02,0.02,-0.04
7.211,0.06,-0.09,0.02,0.02,0.03,-0.04
7.227,-0.02,-0.09,-0.03,0.01,0.04,-0.04
7.24,-0.01,-0.09,0.02,0,0.02,-0.03
7.251,0,-0.1,0.05,0.01,0.03,-0.03
7.262,0.01,-0.09,0.01,0.01,0.02,-0.02
7.274,-0.01,-0.08,-0.02,0,0.02,-0.02
7.285,0.01,-0.05,-0.06,0,0.02,-0.01
7.296,-0.02,-0.04,-0.06,-0.01,0.03,-0.01
7.315,-0.02,-0.02,-0.05,-0.01,0.03,-0.01
7.337,0.01,-0.02,0.01,0,0.02,-0.01
7.347,0,-0.02,-0.02,0.02,0.02,-0.01
7.359,-0.03,-0.01,-0.02,0.02,0.04,0
7.37,-0.02,0.02,-0.08,0.01,0.05,0
7.381,-0.05,0.03,-0.11,0,0.04,0
7.395,-0.05,0.02,-0.07,-0.01,0.04,0.01
7.405,-0.06,0.02,0.04,-0.02,0.03,0.01
7.416,-0.04,0.06,0.1,-0.01,0.03,0.01
7.431,-0.07,-0.02,0.03,0,0.03,0.02
7.445,-0.07,0.05,0.1,0,0.02,0.03
7.456,-0.1,-0.05,0.06,0.03,0.03,0.05
7.468,-0.04,-0.01,0.04,0.03,0,0.06
7.479,-0.08,0.03,0.17,0.04,0.01,0.07
7.491,-0.1,0,0.19,0.03,0.02,0.07
7.503,-0.12,-0.02,0.13,0.03,0.02,0.07
7.515,-0.18,-0.02,-0.06,0.01,0.06,0.1
7.526,-0.24,-0.08,-0.1,0,0.07,0.11
7.537,-0.27,-0.1,-0.1,0,0.06,0.15
7.548,-0.38,-0.13,-0.08,0.01,0.05,0.19
7.56,-0.44,-0.18,0,0.03,0.05,0.22
7.57,-0.43,-0.17,0.15,0.06,0.07,0.27
7.581,-0.48,-0.1,0.23,0.08,0.08,0.3
7.596,-0.53,-0.09,0.18,0.1,0.08,0.35
7.607,-0.56,-0.15,0.18,0.1,0.08,0.42
7.618,-0.66,-0.17,0.25,0.1,0.09,0.45
7.636,-0.72,-0.28,0.33,0.08,0.14,0.56
7.649,-0.67,-0.12,0.3,0.02,0.25,0.7
7.668,-0.83,-0.2,0.39,-0.02,0.33,0.8
7.68,-0.69,-0.31,0.49,-0.03,0.41,0.92
7.691,-0.81,-0.37,0.42,-0.03,0.45,1.01
7.703,-1.04,-0.47,0.47,-0.02,0.47,1.1
7.715,-0.88,-0.46,0.25,-0.02,0.49,1.16
7.73,-0.79,-0.45,0.16,-0.02,0.48,1.26
7.741,-0.89,-0.46,0.23,-0.03,0.47,1.34
7.751,-0.81,-0.5,0.24,-0.04,0.49,1.38
7.766,-0.8,-0.58,0.16,-0.04,0.53,1.42
7.779,-0.75,-0.58,0.07,-0.09,0.57,1.48
7.791,-0.77,-0.7,-0.08,-0.15,0.61,1.56
7.804,-0.8,-0.71,-0.28,-0.19,0.64,1.6
7.815,-0.8,-0.71,-0.28,-0.23,0.64,1.63
7.837,-0.77,-0.77,-0.48,-0.27,0.62,1.69
7.847,-0.78,-0.84,-0.59,-0.29,0.59,1.77
7.858,-0.76,-0.88,-0.7,-0.31,0.51,1.82
7.868,-0.78,-0.83,-0.65,-0.31,0.5,1.84
7.88,-0.8,-0.82,-0.68,-0.31,0.47,1.86
7.891,-0.74,-0.74,-0.69,-0.31,0.41,1.89
7.904,-0.77,-0.69,-0.73,-0.33,0.37,1.91
7.916,-0.77,-0.69,-0.73,-0.35,0.3,1.94
7.927,-0.75,-0.67,-0.56,-0.37,0.21,1.98
7.937,-0.74,-0.63,-0.47,-0.38,0.14,2
7.949,-0.76,-0.61,-0.39,-0.37,0.08,2
7.96,-0.69,-0.64,-0.34,-0.37,0.04,2.01
7.971,-0.7,-0.65,-0.31,-0.37,0.01,2.02
7.985,-0.58,-0.61,-0.3,-0.39,0.02,2.03
8.004,-0.55,-0.55,-0.37,-0.42,0.03,2.04
8.015,-0.58,-0.52,-0.32,-0.5,0.06,2.03
8.033,-0.58,-0.58,-0.3,-0.53,0.06,2.03
8.047,-0.62,-0.57,-0.24,-0.53,0.01,2.02
8.059,-0.6,-0.5,0.19,-0.45,-0.05,2
8.069,-0.62,-0.5,0.41,-0.38,-0.08,1.98
8.081,-0.6,-0.46,0.54,-0.29,-0.1,1.97
8.095,-0.5,-0.29,0.61,-0.22,-0.1,1.95
8.107,-0.44,-0.23,0.53,-0.14,-0.06,1.92
8.117,-0.37,-0.17,0.27,-0.12,-0.03,1.9
8.133,-0.27,-0.07,0.02,-0.13,-0.01,1.86
8.15,-0.21,0.07,-0.23,-0.15,-0.01,1.84
8.168,-0.2,0.15,-0.27,-0.18,0,1.79
8.178,-0.13,0.3,-0.23,-0.18,-0.03,1.71
8.189,-0.09,0.35,-0.08,-0.14,-0.07,1.65
8.2,-0.07,0.37,0.05,-0.1,-0.12,1.6
8.211,0.02,0.39,0.15,-0.04,-0.17,1.54
8.224,0.06,0.39,0.18,0.01,-0.18,1.5
8.238,0.09,0.38,0.18,0.03,-0.18,1.47
8.252,0.11,0.34,0.19,0.03,-0.15,1.44
8.269,0.14,0.26,0.33,-0.01,-0.08,1.39
8.281,0.17,0.27,0.38,-0.07,0.02,1.32
8.295,0.21,0.29,0.3,-0.1,0.07,1.28
8.306,0.27,0.3,0.22,-0.12,0.14,1.24
8.316,0.27,0.3,0.22,-0.12,0.17,1.22
8.336,0.37,0.32,-0.02,-0.13,0.17,1.16
8.347,0.46,0.41,-0.22,-0.13,0.16,1.1
8.359,0.45,0.42,-0.29,-0.14,0.1,1.04
8.37,0.47,0.39,-0.25,-0.15,0.03,0.99
8.381,0.49,0.34,-0.12,-0.15,-0.01,0.96
8.394,0.45,0.23,0.24,-0.14,-0.02,0.92
8.405,0.45,0.18,0.41,-0.13,-0.03,0.89
8.417,0.48,0.14,0.47,-0.1,0.02,0.86
8.431,0.62,0.06,0.42,-0.07,0.07,0.84
8.45,0.72,-0.01,0.13,-0.05,0.14,0.81
8.46,0.67,-0.04,-0.08,-0.08,0.22,0.76
8.471,0.65,-0.08,-0.29,-0.11,0.26,0.72
8.486,0.65,-0.33,-0.49,-0.13,0.31,0.68
8.506,0.58,-0.4,-0.58,-0.14,0.34,0.65
8.517,0.49,-0.46,-0.68,-0.13,0.29,0.64
8.534,0.6,-0.45,-0.69,-0.1,0.24,0.64
8.547,0.71,-0.39,-0.85,-0.1,0.16,0.64
8.558,0.77,-0.39,-0.83,-0.12,-0.06,0.62
8.57,0.72,-0.48,-0.66,-0.12,-0.23,0.61
8.582,0.71,-0.47,-0.66,-0.08,-0.36,0.61
8.593,0.45,-0.7,0.18,-0.02,-0.45,0.62
8.605,0.46,-0.81,0.95,0.03,-0.47,0.62
8.617,0.51,-0.81,1.16,0.11,-0.5,0.6
8.632,0.58,-0.82,1.3,0.13,-0.47,0.6
8.645,0.66,-0.84,1.19,0.13,-0.43,0.6
8.656,0.69,-0.87,1.01,0.1,-0.34,0.61
8.667,0.65,-0.88,0.82,0.06,-0.28,0.62
8.679,0.62,-0.9,0.69,0.03,-0.19,0.63
8.69,0.65,-0.85,0.36,0,-0.12,0.63
8.701,0.64,-0.83,0.1,-0.02,-0.07,0.63
8.713,0.66,-0.79,-0.09,-0.03,-0.03,0.62
8.725,0.6,-0.73,-0.5,-0.04,-0.01,0.6
8.737,0.61,-0.63,-0.61,-0.06,-0.03,0.57
8.751,0.69,-0.55,-0.67,-0.08,-0.05,0.55
8.769,0.64,-0.49,-0.68,-0.12,-0.15,0.51
8.783,0.59,-0.49,-0.62,-0.18,-0.25,0.49
8.794,0.6,-0.44,-0.26,-0.21,-0.3,0.49
8.805,0.63,-0.35,0.03,-0.21,-0.31,0.49
8.816,0.69,-0.32,0.33,-0.2,-0.29,0.48
8.838,0.77,-0.32,0.52,-0.19,-0.25,0.46
8.85,0.81,-0.26,0.52,-0.17,-0.16,0.44
8.861,0.84,-0.21,0.42,-0.16,-0.12,0.43
8.873,0.85,-0.19,0.15,-0.13,-0.08,0.39
8.885,0.84,-0.17,0.15,-0.12,-0.06,0.39
8.897,0.83,-0.25,-0.32,-0.13,0,0.41
8.909,0.76,-0.29,-0.49,-0.15,0.04,0.46
8.921,0.83,-0.24,-0.56,-0.17,0.09,0.47
8.934,0.98,-0.08,-0.5,-0.15,0.09,0.48
8.944,0.92,0.11,-0.22,-0.12,0.07,0.48
8.955,0.95,0.19,-0.03,-0.04,0.02,0.47
8.966,1.04,0.28,0.1,0.02,-0.02,0.46
8.977,1.1,0.37,0.19,0.12,-0.06,0.41
8.989,1.02,0.41,0.21,0.19,-0.09,0.37
9.001,0.96,0.43,0.19,0.2,-0.1,0.36
9.014,0.82,0.16,0.12,0.26,-0.18,0.3
9.025,0.91,0,0.08,0.25,-0.18,0.28
9.036,0.91,-0.07,0.07,0.24,-0.17,0.24
9.047,0.97,-0.12,0.08,0.17,-0.12,0.21
9.06,1,-0.11,0.05,0.08,-0.03,0.19
9.071,0.98,-0.04,0.01,0,0.03,0.19
9.085,0.9,0.05,0.04,-0.06,0.09,0.18
9.096,0.89,0.03,0.07,-0.12,0.14,0.18
9.109,0.9,0.01,0.15,-0.13,0.15,0.17
9.12,0.92,0.02,0.17,-0.11,0.15,0.17
9.131,0.85,0.04,0.16,-0.09,0.13,0.17
9.151,0.84,0.06,0.1,-0.06,0.07,0.18
9.168,0.9,0.1,0.12,0.01,-0.01,0.18
9.18,0.96,0.24,0.21,0.08,-0.1,0.18
9.193,0.95,0.22,0.25,0.13,-0.13,0.18
9.205,0.96,0.2,0.18,0.16,-0.13,0.19
9.216,0.88,0.15,0.07,0.19,-0.14,0.21
9.227,0.86,0.14,0.01,0.21,-0.16,0.24
9.239,0.92,0.14,-0.04,0.19,-0.16,0.25
9.251,1.07,0.19,-0.09,0.18,-0.14,0.26
9.269,1.16,0.29,-0.19,0.14,-0.13,0.26
9.281,1.16,0.29,-0.19,0.1,-0.15,0.25
9.292,1.16,0.34,-0.22,0.11,-0.18,0.24
9.305,1.21,0.36,-0.12,0.13,-0.21,0.23
9.316,1.2,0.37,-0.13,0.18,-0.26,0.23
9.336,1.16,0.35,-0.18,0.21,-0.28,0.22
9.347,1.14,0.3,-0.32,0.24,-0.26,0.23
9.358,1.1,0.26,-0.36,0.25,-0.28,0.24
9.37,0.98,0.17,-0.31,0.26,-0.29,0.25
9.381,0.93,0.14,-0.25,0.26,-0.33,0.26
9.393,0.88,0.27,-0.13,0.26,-0.33,0.26
9.405,0.79,0.39,-0.14,0.26,-0.32,0.26
9.416,0.69,0.54,-0.19,0.23,-0.24,0.25
9.427,0.55,0.55,-0.29,0.19,-0.16,0.26
9.439,0.51,0.46,-0.5,0.13,-0.16,0.29
9.453,0.48,0.2,-0.38,0.08,-0.25,0.32
9.468,0.5,-0.05,0.08,0.01,-0.43,0.31
9.479,0.51,-0.07,0.93,-0.04,-0.48,0.24
9.489,0.46,0.09,1.11,-0.05,-0.46,0.19
9.505,0.38,0.21,1.1,-0.05,-0.45,0.18
9.516,0.3,0.31,0.96,0.05,-0.23,0.15
9.527,0.13,0.26,0.64,0.17,0,0.19
9.539,0.04,0.22,0.31,0.25,0.13,0.23
9.551,-0.12,0.14,-0.12,0.31,0.17,0.25
9.565,-0.22,0.01,-0.67,0.32,0.17,0.27
9.577,-0.29,0.02,-0.73,0.27,0.16,0.27
9.589,-0.33,0.06,-0.71,0.24,0.15,0.26
9.6,-0.31,0.19,-0.69,0.21,0.13,0.24
9.615,-0.34,0.33,-0.48,0.19,0.1,0.22
9.626,-0.38,0.28,-0.31,0.19,-0.01,0.18
9.637,-0.38,0.28,-0.31,0.19,-0.04,0.16
9.659,-0.37,0.21,-0.17,0.21,-0.13,0.11
9.67,-0.3,0.09,-0.12,0.18,-0.15,0.07
9.681,-0.35,-0.1,0.09,0.05,-0.16,0.04
9.691,-0.34,-0.2,0.24,-0.02,-0.1,0.04
9.704,-0.6,-0.52,0.35,-0.08,-0.05,0.08
9.715,-0.52,-0.43,0.5,-0.09,0.07,0.1
9.726,-0.35,-0.3,0.5,-0.06,0.17,0.1
9.737,-0.38,-0.22,0.49,-0.01,0.22,0.09
9.748,-0.34,-0.06,0.3,0.04,0.26,0.07
9.759,-0.41,-0.02,0.11,0.09,0.29,0.04
9.774,-0.51,-0.02,-0.09,0.1,0.29,0.04
9.784,-0.42,-0.09,-0.47,0.12,0.3,0.01
9.796,-0.4,-0.07,-0.58,0.1,0.24,0
9.808,-0.44,-0.01,-0.62,0.08,0.17,0.01
9.819,-0.42,0.11,-0.56,0.07,0.12,0.03
9.835,-0.37,0.24,-0.47,0.06,0.11,0.03
9.846,-0.31,0.39,-0.23,0.01,0.15,0.05
9.857,-0.31,0.39,-0.23,-0.01,0.18,0.06
9.867,-0.31,0.48,-0.19,-0.06,0.26,0.07
9.878,-0.32,0.6,-0.17,-0.11,0.33,0.07
9.89,-0.4,0.6,-0.16,-0.13,0.4,0.06
9.904,-0.39,0.74,-0.21,-0.13,0.39,0.06
9.916,-0.4,0.8,-0.15,-0.11,0.33,0.04
9.928,-0.4,0.83,-0.15,-0.07,0.26,0.02
9.939,-0.34,0.87,-0.13,-0.05,0.18,0
9.953,-0.37,0.92,-0.12,-0.05,0.1,-0.01
9.966,-0.26,1.01,0.12,-0.06,0.03,-0.02
9.977,-0.19,1.1,0.22,-0.09,0.03,-0.04
9.989,-0.11,1.14,0.24,-0.14,0.08,-0.04
10.005,-0.09,1.18,0.17,-0.15,0.09,-0.04
10.018,0.02,1.22,-0.11,-0.28,0.25,-0.04
10.029,0,1.24,-0.26,-0.32,0.29,-0.03
10.041,-0.03,1.25,-0.38,-0.32,0.28,-0.01
10.053,0,1.3,-0.45,-0.28,0.25,-0.01
10.064,-0.02,1.32,-0.51,-0.24,0.19,0
10.075,-0.02,1.36,-0.52,-0.15,0.09,0
10.085,0.03,1.42,-0.49,-0.08,0.03,-0.01
10.096,0.1,1.49,-0.41,0.01,-0.03,-0.03
10.108,0.14,1.54,-0.32,0.09,-0.05,-0.05
10.119,0.18,1.56,-0.28,0.15,-0.06,-0.07
10.131,0.2,1.58,-0.24,0.2,-0.06,-0.09
10.145,0.15,1.62,-0.16,0.23,-0.04,-0.11
10.157,0.15,1.6,-0.16,0.24,-0.06,-0.12
10.169,0.15,1.58,-0.22,0.25,-0.07,-0.13
10.18,0.22,1.56,-0.11,0.26,-0.1,-0.15
10.191,0.19,1.51,-0.03,0.28,-0.22,-0.18
10.202,0.19,1.44,0.05,0.28,-0.26,-0.2
10.214,0.26,1.38,0.22,0.27,-0.28,-0.22
10.226,0.3,1.31,0.25,0.24,-0.29,-0.25
10.237,0.31,1.27,0.28,0.16,-0.24,-0.27
10.25,0.3,1.18,0.35,0.1,-0.22,-0.29
10.264,0.27,1.02,0.58,0.06,-0.2,-0.3
10.276,0.29,0.95,0.65,0.03,-0.19,-0.33
10.287,0.27,0.91,0.75,0.03,-0.19,-0.34
10.3,0.21,0.92,0.8,0.03,-0.17,-0.34
10.313,0.2,0.85,0.74,0.04,-0.11,-0.32
10.324,0.2,0.85,0.74,0.07,-0.03,-0.29
10.338,0.16,0.79,0.75,0.07,-0.02,-0.29
10.349,0.22,0.87,0.38,0.07,0.23,-0.22
10.361,0.34,0.68,0.24,0.01,0.44,-0.14
10.374,0.26,0.55,0.18,-0.08,0.52,-0.04
10.385,0.38,0.46,0.23,-0.12,0.56,-0.02
10.396,0.18,0.45,0.21,-0.17,0.62,-0.06
10.408,-0.04,0.38,0.14,-0.19,0.56,-0.13
10.42,-0.11,0.3,0.17,-0.18,0.45,-0.23
10.433,-0.28,0.11,0.33,-0.15,0.31,-0.33
10.445,-0.32,0.01,0.31,-0.09,0.13,-0.42
10.458,-0.32,0.01,0.31,-0.03,-0.12,-0.52
10.471,-0.34,-0.26,0.55,0.05,-0.42,-0.59
10.484,-0.05,-0.31,0.77,0.06,-0.42,-0.59
10.501,-0.05,-0.31,0.77,0.07,-0.33,-0.58
10.514,0.08,-0.29,0.82,0.09,-0.08,-0.56
10.525,0.08,-0.3,0.82,0.09,0.1,-0.53
10.537,0.2,-0.11,0.14,0.09,0.18,-0.51
10.549,0.2,-0.04,-0.39,0.04,0.24,-0.47
10.56,0.17,-0.09,-0.71,0.01,0.19,-0.45
10.573,0.27,-0.08,-1.01,-0.01,0.13,-0.44
10.585,0.35,-0.03,-1.07,-0.03,0.06,-0.43
10.596,0.46,-0.03,-1.06,-0.05,-0.07,-0.43
10.608,0.48,-0.07,-0.99,-0.06,-0.17,-0.45
10.619,0.39,-0.17,-0.87,-0.08,-0.24,-0.44
10.63,0.25,-0.3,-0.63,-0.11,-0.27,-0.42
10.645,0.03,-0.52,0.05,-0.13,-0.26,-0.4
10.656,0.04,-0.55,0.43,-0.09,-0.15,-0.37
10.671,0.1,-0.53,0.82,-0.02,-0.02,-0.37
10.685,0.14,-0.5,0.94,0.08,0.13,-0.35
10.696,0.15,-0.2,0.7,0.15,0.3,-0.32
10.708,0.11,-0.09,0.18,0.18,0.41,-0.28
10.72,0.1,-0.01,-0.23,0.18,0.49,-0.23
10.735,-0.04,0.01,-1.18,0.15,0.51,-0.16
10.746,0.04,0.08,-1.57,0.08,0.48,-0.05
10.758,0.08,0.14,-1.8,0.04,0.43,0
10.774,0.12,0.23,-1.89,0.01,0.36,0.05
10.785,0.16,0.28,-1.81,0,0.33,0.07
10.796,0.19,0.35,-1.44,0,0.24,0.12
10.808,0.2,0.39,-1.27,0.02,0.2,0.14
10.819,0.21,0.45,-1.16,0.04,0.17,0.16
10.83,0.19,0.39,-1,0.08,0.12,0.19
10.844,0.2,0.44,-0.54,0.13,0.06,0.22
10.858,0.18,0.43,-0.33,0.21,0.03,0.25
10.87,0.22,0.4,-0.14,0.3,-0.02,0.28
10.88,0.25,0.29,-0.03,0.35,-0.06,0.32
10.893,0.27,0.07,0.34,0.38,-0.13,0.34
10.904,0.24,0.02,0.53,0.4,-0.19,0.36
10.918,0.22,-0.03,0.7,0.4,-0.29,0.37
10.928,0.19,-0.09,0.85,0.36,-0.37,0.36
10.94,0.19,-0.12,1.04,0.28,-0.39,0.35
10.954,0.1,-0.05,1.2,0.21,-0.32,0.37
10.967,0.33,-0.08,1.04,0.09,-0.32,0.45
10.979,0.3,-0.36,1.38,0.02,-0.28,0.52
10.99,0.37,-0.38,1.75,0.01,-0.12,0.55
11.005,0.3,0.21,1.4,0,0.06,0.54
11.017,0.22,0.28,0.96,-0.05,0.23,0.55
11.028,0.09,0.08,0.71,-0.08,0.26,0.53
11.04,-0.07,-0.27,0.48,-0.11,0.27,0.53
11.055,-0.26,-0.48,0.14,-0.16,0.24,0.53
11.066,-0.37,-0.52,-0.23,-0.23,0.13,0.5
11.078,-0.37,-0.66,-0.06,-0.22,-0.02,0.45
