time,ax,ay,az,wx,wy,wz
1.183,0.13,0.09,0.15,0.06,0.2,-0.22
1.194,0.14,0.23,-0.32,0.04,0.23,-0.24
1.205,0.17,0.2,-0.64,0.01,0.25,-0.24
1.215,0.14,0.14,-0.79,-0.03,0.24,-0.23
1.225,0.21,0.22,-0.88,-0.06,0.21,-0.21
1.235,0.21,0.27,-0.89,-0.08,0.14,-0.23
1.246,0.22,0.35,-0.79,-0.09,0.05,-0.23
1.256,0.31,0.41,-0.68,-0.06,-0.04,-0.23
1.267,0.37,0.47,-0.53,-0.05,-0.07,-0.24
1.278,0.42,0.47,-0.41,-0.03,-0.13,-0.26
1.289,0.43,0.47,-0.22,-0.05,-0.13,-0.27
1.301,0.45,0.46,-0.08,-0.07,-0.12,-0.27
1.311,0.44,0.48,0.01,-0.14,-0.08,-0.26
1.321,0.4,0.5,0.13,-0.18,-0.04,-0.24
1.334,0.39,0.51,0.12,-0.19,-0.03,-0.23
1.346,0.35,0.57,0.33,-0.2,0.03,-0.2
1.359,0.37,0.63,0.27,-0.18,0.07,-0.14
1.369,0.37,0.67,0.16,-0.16,0.11,-0.09
1.384,0.36,0.67,0.09,-0.14,0.13,-0.05
1.396,0.38,0.82,-0.14,-0.09,0.14,0
1.406,0.36,0.83,-0.39,-0.07,0.14,0.04
1.416,0.39,0.9,-0.57,-0.05,0.11,0.08
1.428,0.41,0.95,-0.67,-0.04,0.08,0.12
1.44,0.4,1.03,-0.78,-0.04,0.03,0.13
1.451,0.37,1.06,-0.8,-0.04,-0.01,0.13
1.461,0.38,1.09,-0.77,-0.03,-0.03,0.13
1.472,0.41,1.09,-0.65,-0.02,-0.04,0.14
1.484,0.38,1.14,-0.6,-0.01,-0.05,0.14
1.506,0.45,1.17,-0.47,0.01,-0.06,0.14
1.516,0.45,1.12,-0.23,-0.01,-0.13,0.13
1.526,0.39,1.07,0.02,-0.02,-0.15,0.14
1.536,0.41,1.04,0.15,-0.05,-0.16,0.15
1.547,0.4,1.04,0.15,-0.06,-0.18,0.15
1.558,0.43,0.94,0.48,-0.05,-0.23,0.17
1.568,0.52,0.85,0.62,-0.04,-0.24,0.18
1.582,0.63,0.89,0.64,-0.02,-0.26,0.2
1.595,0.41,0.81,0.72,0,-0.23,0.24
1.607,0.45,0.79,0.62,0.02,-0.18,0.28
1.617,0.44,0.78,0.47,0.03,-0.11,0.32
1.627,0.37,0.77,0.28,0.02,-0.04,0.36
1.637,0.29,0.66,0.26,0.01,-0.01,0.39
1.648,0.24,0.56,0.33,0.01,0,0.4
1.658,0.24,0.49,0.36,-0.01,0.03,0.4
1.67,0.24,0.49,0.36,-0.02,0.03,0.41
1.687,0.07,0.3,0.57,-0.06,0.08,0.42
1.698,0.11,0.33,0.79,-0.07,0.18,0.43
1.708,-0.09,0.18,0.83,-0.06,0.16,0.45
1.719,-0.04,-0.02,0.84,-0.01,0.05,0.46
1.73,-0.03,-0.18,0.91,0.04,-0.02,0.46
1.741,-0.03,-0.15,0.9,0.13,-0.08,0.44
1.752,-0.04,-0.15,0.9,0.17,-0.07,0.44
1.762,0.07,0.1,0.47,0.18,-0.04,0.44
1.775,0.09,0.22,0.1,0.18,-0.02,0.44
1.788,0.09,0.22,0.1,0.17,-0.04,0.45
1.799,0.09,0.22,0.1,0.16,-0.04,0.45
1.81,0.12,-0.02,-0.02,0.1,-0.15,0.4
1.82,0.13,-0.12,0.03,-0.02,-0.32,0.35
1.843,0,-0.2,0.43,-0.13,-0.5,0.32
1.854,-0.15,-0.44,2.29,-0.19,-0.69,0.25
1.866,-0.07,-0.58,2.68,-0.12,-0.58,0.2
1.877,-0.06,-0.59,2.71,0.02,-0.24,0.21
1.887,-0.05,-0.5,2.28,0.09,-0.01,0.23
1.897,-0.16,-0.37,1.61,0.14,0.23,0.28
1.907,-0.19,-0.22,0.65,0.16,0.45,0.34
1.918,-0.29,-0.11,-0.15,0.15,0.61,0.4
1.928,-0.34,-0.09,-0.99,0.08,0.63,0.46
1.938,-0.32,-0.12,-1.42,0.06,0.61,0.48
1.949,-0.3,-0.12,-1.57,-0.02,0.42,0.5
1.96,-0.23,-0.04,-1.51,-0.03,0.23,0.46
1.97,-0.27,0.06,-1.45,-0.01,0.12,0.42
1.98,-0.3,0.11,-1.42,0.03,-0.01,0.38
1.99,-0.27,0.22,-1.38,0.08,-0.08,0.34
2.002,-0.27,0.22,-1.38,0.1,-0.12,0.32
2.016,-0.41,0.23,-1.24,0.18,-0.19,0.26
2.028,-0.38,0.14,-1.23,0.16,-0.22,0.22
2.04,-0.4,0.11,-1.1,0.1,-0.19,0.22
2.051,-0.35,0.03,-0.85,0.03,-0.11,0.22
2.062,-0.33,-0.04,-0.63,-0.02,-0.03,0.22
2.074,-0.26,-0.05,-0.38,-0.05,0.08,0.19
2.085,-0.22,-0.08,-0.29,-0.05,0.14,0.17
2.095,-0.24,-0.03,-0.31,-0.04,0.19,0.14
2.106,-0.21,0.07,-0.46,-0.01,0.2,0.1
2.116,-0.21,0.14,-0.57,0.01,0.2,0.06
2.127,-0.19,0.14,-0.57,0.04,0.19,0.02
2.137,-0.29,0.34,-0.91,0.06,0.16,0
2.149,-0.29,0.4,-1.12,0.06,0.13,-0.03
2.168,-0.33,0.45,-1.2,0.03,0.09,-0.03
2.179,-0.41,0.56,-1.05,-0.01,0.01,-0.04
2.19,-0.38,0.63,-0.89,-0.02,-0.02,-0.05
2.206,-0.35,0.63,-0.72,-0.03,-0.04,-0.05
2.22,-0.24,0.73,-0.37,-0.04,-0.03,-0.06
2.232,-0.27,0.76,-0.17,-0.01,0.02,-0.08
2.246,-0.29,0.76,-0.1,0.01,0.03,-0.09
2.257,-0.22,0.74,-0.13,0.05,0.07,-0.1
2.268,-0.21,0.7,-0.17,0.07,0.07,-0.11
2.278,-0.22,0.69,-0.21,0.09,0.07,-0.11
2.29,-0.22,0.73,-0.18,0.11,0.04,-0.12
2.301,-0.16,0.77,-0.11,0.12,0.03,-0.13
2.312,-0.1,0.76,0.05,0.11,0.04,-0.14
2.325,-0.19,0.7,0.27,0.09,0.04,-0.14
2.336,-0.19,0.7,0.27,0.09,0.04,-0.14
2.346,-0.15,0.62,0.78,0.09,0.04,-0.16
